BULAMU MEDICAL CARE CLINIC,NANTALE REHEMA,DR BEINOMUGISHA KAMBABAZI ELIZABETH,NAMUWONGO,,MAKINDYE,KAMPALA,,,,
BULAMU MEDICAL CENTRE,KIMULI MULINDWA TIMOTHY,DR KIMULI MULINDWA TIMOTHY,BULENGA,,WAKISO,WAKISO,,,,
BULAMU MEDICAL CENTRE,SSEWAMKAMBO WILFRED,DR SSEWANKAMBO WILFRED,NAJJANANKUMBI,,RUBAGA,KAMPALA,,,,
BULAMU MEDICAL CENTRE & MATERNITY,KYESWA FLORENCE,DR LUMU WILLIAM,NAJJA,,LUBAGA,KAMPALA,,,,
BULAMU MEDICAL CLINIC,KABUGO BLASIO/NAKITTO FRANK,DR KABUGO BLASIO,KASUBI MARKET PLACE,,RUBAGA,KAMPALA,,,,
BULANGIRA MEDICAL CENTRE,BULANGIRA ACTION FOR COMMUNITY DEVT,DR SWANKULA FRED,NAKASONGOLA,,NAKASONGOLA TOWN COUNCIL,NAKASONGOLA,,,,
BULAYA MISSION HEALTH CENTRE,UGANDA CHARITABLE AND BENEVOLENT TEAMWOR,DR MUGABBA GEORGE,,,,,KIBIRI ZONE B,MAKINDYE,KYADONDO,WAKISO
BULENGA MEDICAL CARE,TUMWESIGYE DENNIS,DR ETIMA ANGELLICA,"18, EDWARD AVENUE",,KATWE BUTEGO,MASAKA,,,,
BULENGA MEDICAL CENTRE,KIGONYA PAUL,DR KIGONYA PAUL,,,,,KAKUNYUMUNYU,BULANGIRA,,KIBUKU
BULO CLINIC,NAKAJUBI FATUMAH,DR SSEKITTO KALULE GERALD,KAYANJA,,NAGOJJE,MUKONO,,,,
BULO HEALTH CENTRE,UCMB,DHO,,,,,BULENGA,WAKISO,,WAKISO
BULOBA HEALTH CARE UNIT,HENRY WAMALA,DR NAM RICHARD,,,,,BULENGA,NSANGI,WAKISO,WAKISO
BULULU C.O.U. HEALTH UNIT II,UPMB,DR OKIA SIMON PETER,,,,,BULO,BULO,BUTAMBALA,BUTAMBALA
BULUMAGI MEDICAL CLINIC,TWINAMATSIKO KANUSHU,DR AHIMBISIBWE DEAN I,,,,,KAMBUZI,BULO,BUTAMBALA,MPIGI
BULWADDA CLINIC,BULWADDA CLINIC LIMITED,DR NANYONGA JALIAH,,,,,,KIWUMU BULOBA,MPIGI,WAKISO
BULYANSIME HEALTH CENTRE II,UCMB,DR TAZZIBWA GERALD,,,,,OBUR,BULULU,KALAKI,KABERAMAIDO
BUMANGI HEALTH CENTRE,UCMB,DHO,,,,,BULUMAGI,NYENGA,BUIKWE,BUIKWE
BUNATO JOINT MEDICAL CLINIC,ELON KYOMUGISHA/ROBINAH KATO,DR OCHEN KENNETH OBWOT,"4182,BLOCK 217 IJ COMPLEX",,NAKAWA,KAMPALA,,,,
BUNAWONA CLINIC,KIZZA MILLY\ ZZIWA MARTIN,DR ZZIWA MARTIN,,,,,KIKUNYU,IBULANKU,BUGWERI,IGANGA
BUNAWONA CLINIC,MUJABI PORTER VINCENT,DR MUJABI PORTER VINCENT,,,,,BUMANGI,MUGOYE,BUJUMBA,KALANGALA
BUNAWONA MEDCARE CLINIC,STEPHEN GRACE SERUYANGE,DR KASIRYE GITTA PHILLIP,PORTBELL RD,KITINTALE,NAKAWA,KAMPALA,,,,
BUNAWOONA MEDICAL CENTRE,KALULU RICHARD,DR MUKASA KIVUNIKE PETER,,,,,KAJJANSI,SSISA,,WAKISO
BUNGA MATERNITY HOME,LUBEGA MAGDALENE,DR KIZITO ZIRABA NANYONJO JUSTINE,"7A, NIZAM ROAD",,CENTRAL,JINJA,,,,
BURAMA H/C II,TUMWESIGYE MEDAD,DR BAGUMA JOSEPH,,,,,KAKAJJO,KIRA,KYADONDO,WAKISO
BURDENS H.C BUSOGA UNIVERSITY,BUSOGA UNIVERSITY,DR BATESAAKI M.P. AGGREY,NAKULABYE,,KAWEMPE,KAMPALA,,,,
BUREO COMMUNITY HEALTH CENTRE III,BUHWEJU REAL DEVPT ORGANISATION,DR OWEMBABAZI NDYANADO WILBERFORCE,"244,BBUNGA KAWUKU ROAD",,MAKINDYE,KAMPALA,,,,
BUROMBE CBO HC II,BUROMBE COMMUNITY DEVELOPMENT PROJECT,DHO RUKUNGIRI,,,,,BURAMA,BWAMBARA,,RUKUNGIRI
BURUNGIRA HEALTH CENTRE III,UCMB,DHO,,,,,BUWOYA,BULAMAGI,KIGULU,IGANGA
BUSABALA NURSING HOME,SEMBATYA EDWARD,DR KALYEMENYA MARTIN,,,,,NYAKASHAKA TC,BURERE,BUHWEJU,BUHWEJU
BUSALAAMU HEALTH CENTRE,UCMB,DR TAZZIBWA GERALD,,,,,RWENSHAKA,RUHINDA,RUJUMBURA,RUKUNGIRI
BUSARU HEALTH CENTRE IV,FORTPORTAL DIOCESE,DHO,,,,,BURUNGIRA,RUHUMURO,IGARA EAST,BUSHENYI
BUSARU HEALTH UNIT III,UCMB,DR NDYEZIIKA JAMES,BUSABALA ROAD,,RUBAGA,KAMPALA,,,,
BUSEESA MEDICAL CENTER,LUBEGA RICHARD,DHO,,,,,BUSALAAMU,BUKANGA,LUUKA,IGANGA
BUSEGA CLINIC,MBOGO EARONE,DR KIYAGA FESTO,BUSARU,,BUNDIBUGYO,BUNDIBUGYO,,,,
BUSEGA MEDICAL CENTER,COMMUNITY WELFARE SERVICES-UGANDA,DR LWANGA HERBERT,,,,,KAYENJO,BUSARU,BWAMBA,BUNDIBUGYO
BUSHENYI CLINIC,BEGUMYA YOVAN,PROF BEGUMYA YOVAN,KARUGUUZA,,MATALE,KIBAALE,,,,
BUSHENYI DIAGNOSTIC CENTRE,NINSIMA VIOLA,DR MWOROZI KENNETH,KAFUMBE ROAD,,CENTRAL,KAMPALA,,,,
BUSHENYI MEDICAL CENTRE (BMC),ELIODA TUMWESIGYE FOUNDATION FOR HUMAN D,DR MUGUME FRANCIS,BUSEGA,,RUBAGA,KAMPALA,,,,
BUSHENYI UMSC HEALTH CENTRE II,UMSC,DHO,LIBERATION RD,BUSHENYI,MUNICIPALITY,BUSHENYI,,,,
BUSHERE C.O.U. HEALTH CENTRE II,UCMB,DHO KANUNGU,BUSHENYI,,CENTRAL,BUSHENYI,,,,
BUSHIRA MEDICAL CENTRE,SEMBATYA ARAFAT,DR SEMBATYA ARAFAT,"BUSHENYI, ISHAKA",,TOWN COUNCIL,BUSHENYI,,,,
BUSIIKIRI MEDICAL CENTRE,SSEMAKULA IMMACULATE,DR MAKUMBI KABANDA TIMOTHY,,,,,KIJOMO,KAKANJU,,BUSHENYI
BUSINESS CENTRE CLINIC,AAR HEALTH SERVICES,DR SERUBIDDE KAKYAMA ZACHARY,,,,,BUSHERE,KIHIHI,KINKIIZI WEST,KANUNGU
BUSINGYE CLINIC,BUSINGYE WARUGABA AMOS,DR BUSINGYE WARUGABA AMOS,KETI FALAWO,,KAWEMPE,KAMPALA,,,,
BUSINGYE MEDICAL CENTRE,BUSINGYE BAZARE ROBERT,DR BUSINGYE BAZARE ROBERT,,,,,BUSIIKIRI,KIWEEBWA,GOMBE,WAKISO
BUSIRIBA MEDICAL CENTRE,KOBUSINGYE ZAINABU,DR.SSEBUKO GONZANGA ARTHUR,"14/18, CONTAINER VILLAGE",,CENTRAL,KAMPALA,,,,
BUSIRO CHURCH OF GOD HEALTH CENTER III,CHURCH OF GOD OF EAST AFRICA UGANDA,DR NAMBOZO SARAH,,,,,RWENGIRI,IBANDA,IBANDA,IBANDA
BUSIU MEDICAL CENTRE,MASABA ROGERS WAMUSHIYI,DR MASABA ROGERS WAMUSHIYI,"3/5, BOMBO RD",NAKASERO,CENTRAL,KAMPALA,,,,
BUSOLWE COMMUNITY CLINIC,MATOVU JOHN BOSCO JUNIOR,DR MATOVU JOHN BOSCO JUNIOR,,,,,,BUSIRIBA,,KAMWENGE
BUSUNJU COMMUNITY HEALTH CENTRE,DR SSEBWAMI LEONALD,DR SSEBWAMI LEONALD,,,,,BUSIRO A,BANDA,BUKOLI SOUTH,NAMAYINGO
BUSWALE ST. MATIA MULUMBA,UCMB,DHO,,,,,BUSIU,BUSIU,BONGHKHO SOUTH,MBALE
BUTANAZIBA CLINIC,NKALUBO MOHAMMED,DR NKALUBO MOHAMMED,BUSOLWE TRADING CENTRE,,BUTALEJA,BUTALEJA,,,,
BUTARE HEALTH CENTRE II,DIOCESE OF KIGEZI,DHO KABALE,,,,,BUSUNJU,SSEKANYONYI,,MITYANA
BUTARE HEALTH CENTRE III,UCMB,DHO,,,,,SIMIGINI,BUSWALE,BUKOOLI,NAMAYINGO
BUTENDE HEALTH CENTRE III,UCMB,DHO,MBUYA 1 PARISH,,NAKAWA,KAMPALA,,,,
BUTENGA HEALTH CARE CENTRE,NTEGE FRED,DR NTEGE FRED,,,,,KATUJO,MUKO,,KABALE
BUTIRU CHRISCO HOSPITAL,CHRISCO FELLOWSHIP OF CHURCHES,DR ALUNGA JOHN RICHARD,,,,,BUTARE,RWENGWE,BUHWEJU,BUSHENYI
BUTIRU DISPENSARY,UCMB,DR MUSANA FRED,,,,,BUTENDE,MUKUNGWE,BUKOTO EAST,MASAKA
BUTIRU HOLY FAMILY HEALTH CENTRE,UCMB,DHO,BUTENGA,,BUTENGA,MASAKA,,,,
BUTOGOTA HEALTH CENTRE II,UCMB,DHO,BUTIRU TRADING CENTRE,BUBULO WEST,BUTIRU,MANAFWA,,,,
BUTUURO PEOPLE'S MEDICAL CENTRE,BUTUURO PEOPLE'S SACCO,DR. NDYABAKIRA ALEX,,,,,BUTIRU,BUBULO,BUBULO,MBALE
BUWAAYA HEALTH UNIT,UCMB,DR TAZZIBWA GERALD,,,,,BUMATANDA,BUTIRU,BUBULO,MANAFWA
BUWASUNGUYI HEALTH CENTRE III,UPMB (DELIVERANCE CHURCH),DR OLUPOT OLUPOT PETER,,,,,BUTOGOTA,KAYONZA,KINKIZI,KANUNGU
BUWENGE HOSPITAL AND MEDICAL CENTRE,NKUTU M.KIRUNDA,DR OBUKU ANTHONY,,,,,NYAKABIRIZI,NYAKABIRIZI,,BUSHENYI
BUWUDA HEALTH UNIT,FLORENCE KISAMBIRA,DR TIGAWALANA DAVID,,,,,BUWAAYA,BUWAAYA,BUNYA,MAYUGE
BUYAMBA DISPENSARY & MATERNITY CENTRE,UCMB,DHO,,,,,SISONGOFA,NAMABYA,,MANAFWA
BUYAMBI ST. NOA'S HEALTH CENTRE II,UCMB,DHO,,,,,BUWENGE TC,KAGOMA,KAGOMA,JINJA
BUYANJA HEALTH CENTRE II,BUSOGA DIOCESE,DHO,,,,,KAMULI-NAMWENDWA P,NABINUGULU,KAMULI,KAMULI
BUYEGE HEALTH CENTRE,UCMB,DHO,,,,,BUYAMBA,DDWANIRO,KOOKI,RAKAI
BUYINZA HEALTH CARE,KIRYA ABENENEGO/SEMWANGA JOSEPH,DR JANET KUTESA KYAMANYWA,,,,,BUYAMBI,BULERA,MITYANA,MITYANA
BUYOGA HEALTH CENTRE III,UCMB,DHO,BUYANJA,,KIDERA,BUYENDE,,,,
BUZIRASAGAMA CLINIC,RWENZORI COMMODITIES LTD.,DR OKELLO AYEN DANIEL,,,,,BUYEGE,KASANJE,BUSIRO,MPIGI
BWAISE MEDICARE,SAMUEL LUKULWASE NSAMBA,DR NSAMBA SAMUEL LUKULWASE,,,,,NABWERU,NABWERU,,WAKISO
BWEGOMBE CLINIC,ONEKO CHARITY/ NALUYIGA JANE,DR ONEKO CHARITY,,,,,BUYOGA,KIBINGE,BUKOMANSIMBI,BUKOMANSIMBI
BWERA CLINIC,KATCHE ALOZIOUS,DR GANAFA E J,,,,,BUZIRASAGAMA,BUSORO,BUKUUKU,KABAROLE
BWEYALE COMMUNITY MEDICAL CENTRE,ODONG JACKSON,DR MUTABAZI FRED,NABWERU RD,,KAWEMPE,KAMPALA,,,,
BWEYOGERERE DOCTOR'S PLAZA,LUGERO CHARLES,DR LUGERO CHARLES,BUSEGA-KIBUMBIRO,,RUBAGA,KAMPALA,,,,
BWEYOGERERE GENERAL FAMILY CLINIC,MUGADDU E.G,DR MUGADDU E.G,,,,,BWERA,BWERA,BWERA,KASESE
BWEYOGERERE HEALTH CENTRE,UGANDAN MUSLIM YOUTH ASSEMBLY,DHO WAKISO,,,,,BWEYALE,KIRYANDONGO,,MASINDI
BWEYOGERERE MEDICAL CENTRE,SUSAN WABASA,DR NKAMBA ERIAB MOSES,BWEYOGERERE,,KIRA,WAKISO,,,,
BWEYOGERERE NURSING HOME,MUTABAZI GIDEON MEDAD,DR MUTABAZI GIDEON MEDAD,BWEYOGERERE,,NAKAWA,WAKISO,,,,
BWEYOGERERE SDA. H/C III,UPMB,DHO WAKISO,KAZINGA,,KIRA TOWN COUNCIL,WAKISO,,,,
BWINDI COMMUNITY HOSPITAL,UCMB,DR BIRUNGI EDWIN MUTAHUNGA RWAMATWARE,,,,,KIGANDAZI,KIRA,,WAKISO
BYAKATONDA CLINIC,EMMANUEL KIWANUKA MUKIIBI,DR GUMISIRIZA JOHN RUMASHA,,,,,KAKAJJO ROAD,BWEYOGERERE,,WAKISO
BYAKATONDA HEALTH CENTRE,PADDA GREGORY,DR SEKIKUBO MUSA,,,,,BWEYOGERERE,KIIRA,KYADONDO,WAKISO
BYAKATONDA MEDICAL CENTRE,BYAMUKAMA SIMON,DR MAJWALA ALBERT,,,,,BUHOMA,KAYONZA,KINKIIZI,KANUNGU
BYAKUMPI MEDICAL CLINIC,WABBI VICENT,DR. BEMBA MOSES KIGGUNDU LUKWAGO,,,,,MADDU,MADDU,,MPIGI
BYAKUNO MEDICARE CENTRE,B.KISITU NORMAN,DR ZIRABA N JUSTINE,KANSANGA,,MAKINDYE,KAMPALA,,,,
BYAMAKA HEALTH CENTRE,TALEMWA DANIEL,DR KIMERA CHARLES,,KANSANGA,MAKINDYE,KAMPALA,,,,
BYAMUKAMA CLINIC,KALOGO PAUL,DR RUBAHIKA DENIS,KALANGALA,,BUJUMBA,KALANGALA,,,,
BYANSI CLINIC,KIGOYE HERMAN,DR SENOGA SIRAJ,GGABA RD,GGABA,MAKINDYE,KAMPALA,,,,
BYANSI CLINIC,NASSANGA VIOLA,DR SSENYONDO GONZAGA GONZA,,,,,ABAIYITA BABIRI,KATABI,BUSIRO,WAKISO
"BYANSI CLINIC, ANNEXE",BYANSI SERVICES LIMITED,DR SENOGA SIRAJ,GAYAZA RD,,KAWEMPE,KAMPALA,,,,
BYANSI DENTAL CLINIC,SARAH KIGOYE,DR LUKWAGO KAWUZI ASUMAN,"1-3,NALUBAALE&9,KLA ROAD",KATWE,KATWE-BUTEGO,MASAKA,,,,
BYANSI MEDICAL CLINIC -KAWEMPE,NANKYA BEATRICE,DR TUMUSIIME FRED,NATEETE,,RUBAGA,KAMPALA,,,,
C & J MEDICAL CENTRE,KAMUGISHA CHARLES,DR MBABAZI BAGUMA WILLIAM,"1-3, NALUBALE STREET",,MUNICIPALITY,MASAKA,,,,
C MAYANJA MEDICAL CENTRE,MUKASA MICHEAL,DR MUKASA MICHEAL,"14/15, NEW TAXI PARK",KATWE,KATWE-BUTEGO,MASAKA,,,,
C.O.U. MUHANGA HEALTH CENTRE,UCMB,DR MUHUNDE ANANIA,,LUGOBA ZONE,KAWEMPE,KAMPALA,,,,
C.R.MEDICAL CLINIC,RACHEL KASUMBA & CHRISTINE SEREMBA,DR SEREMBA EMMANUEL,,,,,"OCHENG ZONE, NABWERU",NABWERU,WAKISO,WAKISO
CABS DIAGNOSTIC CENTRE,NAMANYA HARRIET & AINOMUGISHA EUNICE,DR BUSULWA ISRAEL JUNIOR,"301,WANKULUKUKU RD",,RUBAGA,KAMPALA,,,,
CALIFORNIA MEDICAL CENTRE,LUKIYA KASIRYE,DR MUKASA MICHEAL,,,,,MUHANGA,BUKINDA,RUKIGA,KABALE
CALVARY MEDICAL CENTRE,"SSEMAKULA TIMOTHY, FAITH SSEMAKULA",DR OMODI ENGOLA RUFINO,BWAISE,,KAWEMPE,KAMPALA,,,,
CALVARY MEDICARE CLINIC AND LABORATORY,EPIDU CALVIN,DR EPIDU CALVIN,KANABA,,KANABA,WAKISO,,,,
CANAAN HEALTH CENTRE,WAGABA ISAAC,DR KUKIRIZA ENOCK,,,,,MATUGGA,GOMBE,KYADONDO,WAKISO
CAPE MEDICAL CENTRE,ODENYO CATHERINE N,DR ODENYO CATHERINE N,MATUGGA,WAKISO,,WAKISO,,,,
CAPITAL CARE MEDICAL CENTRE,KANYIKE DANIEL MUKASA,DR KANYIKE DANIEL MUKASA,"101D, EASTERN",,MUNICIPALITY,SOROTI,,,,
CAPITAL HEALTH CLINIC,DAMANI ALI MOSES,DR DAMANI ALI MOSES,,,,,BUZIIKA,NJERU TOWN COUNCIL,KYAGGWE,BUIKWE
CAPITAL MEDICAL CONSULTANTS,GAKWAYA MUTABAZI ANTHONY,DR GAKWAYA MUTABAZI ANTHONY,KYENGERA,,NSANGI,WAKISO,,,,
CAPSTONE MEDICAL SPECIALISTS,KHAINZA BETTY,DR KHAINZA BETTY,NDEEBA,,LUBAGA,KAMPALA,,,,
CARDINAL NSUBUGA MEAMORIAL H/C-KKANDE,KIYINDA-MITYANA DIOCESE,DHO,,,,,KASANGATI T/C,NANGABO,,WAKISO
CARE CLINIC,LUBEGA MOSES,DR LUBEGA WILLIAM,PORTBELL ROAD,LUZIRA,NAKAWA,KAMPALA,,,,
CARE CLINIC,SETTALA RASHID,DR AYEBARE LEONARD JOHN,"471, NAMIREMBE",NAKULABYE,LUBAGA,KAMPALA,,,,
CARE CLINIC RWANKENZI,KASOKE HENRY,DR RUHWEZA JOHN FRIDAY,,,,,MITYANA,BUTAYUNJA,BUSUNJU,MITYANA
CARE INTERNATIONAL MEDICAL CENTRE,MPIIMA DAVID,DR KADAAGA HENRY FRANCIS,PRODUCE ROAD,BUKOTO WEST,LWENGO T/C,LWENGO,,,,
CARE MEDICAL CENTRE,BABI KASADHA,DR ARUNGA SIMON,"40, BOMBO RD",,CENTRAL,KAMPALA,,,,
CARE MEDICAL CENTRE,DR KWIKIRIZA NICHOLAS MAGAMBO,DR KWIKIRZA NICHOLAS MAGAMBO,,,,,RWANKENZI,RWANKENZI T/C,,KABAROLE
CARE MEDICAL CENTRE,KASADHA BABI,DR ARUNGA SIMON,WAKISO,,WAKISO TOWN COUNCIL,WAKISO,,,,
CARE MEDICAL CENTRE,MUSAAZI SHARIF,DR NAJJUMA FLAVIA VIVIAN,,,,,GANDI,KYEBANDO,,WAKISO
CARE MEDICAL SERVICES,NAKALAWA BABRA,DR LUSIBA JOHN KAFULUMA,CENTRAL MARKET,,KAHOORA,HOIMA,,,,
CARE PLUS CLINIC,NASSUNA BETTY,DR RUBAHIKA KINUNGU DENIS,,,,,GANDA,KYEBANDO,,WAKISO
CARES CLINIC ZZANA,BYAMUGISHA SABIITI,DR BIRUNGI CAROLINE,MANYANGWA,,NANGABO,WAKISO,,,,
CARTHRINE WOMACK MOSARAH MEDICAL CLINIC,CARTHRINE WOMACK MOSARAH,DR WABETA J,KYEBANDO,,KAZINGA,WAKISO,,,,
CASA MEDICAL CENTRE,YEFTA MARTIN,DR YEFTA MARTIN,,,,,KYALIWAJJALA,KIRA,KIRA,WAKISO
CASE MEDICAL CENTRE,SEBBAALE KATO ABDUL ABDALLAH,DR OPIKA OPOKA ROBERT A.,,,,,"ZZANA,BUNAMWAYA",MAKINDYE,,WAKISO
CATHEDRAL VIEW MEDICAL CENTRE,DHIKANGE BALAMU,DR LUBOGO PATRICK,,,,,OSIYA,OMAGORO,,TORORO
CATHERINE MEDICAL CARE,BYABASAIJA FRED,DR KINTU DENIS,KYEGEGWA,,NKAAKA,KYEGEGWA,,,,
CATHERINE MEDICAL CARE,BYABASAIJA FRED,DR KATWESIGYE ELIZABETH,"69/71, BUGANDA RD",,CENTRAL,KAMPALA,,,,
CATHY MEDICARE CENTRE,KAYE RONALD,DR KAYE RONALD,BUGEMBE,,MAFUBIRA,JINJA,,,,
CEDAR CLINIC,NSUBUGA MOSES KAKYAMA,DR NSUBUGA MOSES KAKYAMA,RUBAGA,,RUBAGA,KAMPALA,,,,
CEDAR SUMMIT HOSPITAL,"AGOLOR CURTHBERT,BOBIL WILLIAMS,HANDEL",DR AGOLOR CURTHBERT,NAMUGOONA,,LUBAGA,KAMPALA,,,,
CELEMENT MEDICAL CENTRE,AWORI JANET LILLIAN,DR MASEREKA ROBERT,,,,,NYENDO,NYENDO SSENYANGE,,MASAKA
CENTENARY MEDICAL CONSULTATION,KAKONGE BINTUBIZIBU Z.,DR KAKONGE BINTUBIZIBU Z,KAFUMBE MUKASA RD,,CENTRAL,KAMPALA,,,,
CENTENARY MEDICAL CONSULTATION,ZILLAH BINTUBIZIBU KAKONGE,DR ZILLAH BINTUBIZIBU KAKONGE,LUBOWA,,MAKINDYE,WAKISO,,,,
CENTER CLINIC,WALYOMO RICHARD WALEX,DR WALYOMO RICHARD WALEX,KASUBI ZONE 4,,RUBAGA,KAMPALA,,,,
"CENTRAL POLY CLINIC, KIREKA",OONYU ETAABON,DR OONYU ETAABON,"72, KAMPALA RD",NTINDA,NAKAWA,KAMPALA,,,,
CENTRAL TREAMENT CENTRE,KATANAKA AND KASUMBA,DR WOIRA JOSEPH,KISAASI ROAD,NTINDA,NAKAWA,KAMPALA,,,,
CENTRE CLINIC,WALYOMO RICHARD WALEX,DR WALYOMU RICHARD WALEX,MULAGO,,KAWEMPE,KAMPALA,,,,
CENTRE FOR PRIVATE HEALTH & SOCIAL ADJUSTMENT,BIRYAHWAHO BENON,DR LOPEZ LORENZO AVILA,,KIREKA,KIRA,WAKISO,,,,
CHADO CLINIC,MUGWANYA CHARLES K.,DR KALIBBALA SENDI SAMUEL,,,,,KYENGERA,NSANGI,BUSIRO NORTH,WAKISO
CHAMEX MEDICAL CLINIC,SSEBIDDE AMMEX,DR SSEBALU NSUBUGA KYOBE ABOUBAKER,MULAGO,KAFERO,KAWEMPE SOUTH,KAMPALA,,,,
CHANDARIA MEDICAL CLINIC,UGANDA BAATI LTD.,DR AKISIIMA SIMON AFRIKA,"PLOT 21A,GOWERS ROAD",,ENTEBBE DIVISION A,WAKISO,,,,
CHANNEL DENTAL CLINIC,MUSAAZI MARGARET,DR MUSAAZI MARGARET,SALAMA RD,BUKEJJE ZONE,MAKINDYE,KAMPALA,,,,
CHANNEL STREET COMBINED CONSULTANCY CLINIC,PROFESSOR GEORGE B. KIRYA,DR LUGEMWA MYERS,,,,,MIRAMBI STAGE,MAKINDYE,KYADONDO,WAKISO
CHARIS HEALTH CENTRE,OKULLO JOEL,DR ADONG GILLIAN GWON,"14/28, KIBIRA RD",INDUSTRIAL AREA,NAKAWA,KAMPALA,,,,
CHARIS MEDICAL CENTRE,DR KENGOZI ROSE,DR KENGOZI ROSE,"8/9, CHANNEL STREET",,CENTRAL,KAMPALA,,,,
CHARITY CLINIC,BYAMUKAMA N. VALLANCE,DR MWINGANIZA BENJAMIN DAVID,"45/46, BEN KIWANUKA STRT",,CENTRAL,KAMPALA,,,,
CHARITY CLINIC,NADUNGA ANNET,DR KYEBAMBE PETERSON,"129, BLOCK 7, JINJA CAMP",JINJA CAMP,OJWINA,LIRA,,,,
CHARLES CLINIC,RUTH TUKAHIRWA,DR BEKUNDA BEKKY,NAMUGONGO,,KIRA TOWN COUNCIL,WAKISO,,,,
CHIFCOD CHILD AND FAMILY HEALTH UNIT,THE CHILD TO FAMILY COMMUNITY ORGANISATI,DR TIBEIHAHO HECTOR,"21, MALIBU ROAD",,MUNICIPALITY,KABAROLE,,,,
CHILD & FAMILY MEDICAL CENTER,CHILD & FAMILY FOUNDATION UGANDA,DR MUPERE EZEKIEL,,,,,KIREKA,KIIRA,,WAKISO
CHILD AND FAMILY MEDICAL CENTER(CFU) NAWANSASO,CHILD AND FAMILY FOUNDATION UGANDA,DR BABIKAKO HARRIET MUPERE,KAGUGUBE,,CENTRAL,KAMPALA,,,,
CHILD HEALTH CARE AND DIAGNOSTIC CENTRE,COMMUNITY &HOME INITIATIVE (CHILD),DR MANGENI FRED,,WESTERN,TOWN COUNCIL,KANUNGU,,,,
CHILD HEALTH EDUCATION & REHABILITATION,"CHER, BESANIYA",DR FULVO FRANCESCHI,"816/7,TUULA",,KAWEMPE,KAMPALA,,,,
CHILDREN'S CLINIC KAMPALA LIMITED,KASIRYE EDWARD,DR KASIRYE EDWARD,,,,,NAWANSASO,TRADING CENTRE,,KAMULI
CHILDREN'S CLINIC KAMPALA LTD,KASIRYE EDWARD,DR KASIRYE EDWARD,,,,,KIRA,KIRA,KYADONDO,WAKISO
CHILDREN'S CLINIC KANSANGA,TUMWINE DANIEL,DR TUMWINE DANIEL,,,,,BESANIYA,NSUUBE,,MUKONO
CHILDREN'S MEDICAL CENTRE,BYARUGABA JUSTUS,DR BYARUGABA JUSTUS,"66,MAKINDU CLOSE KOLOLO",,CENTRAL,KAMPALA,,,,
CHILDREN'S SUPPORT FOUNDATION UGANDA,CHILDREN SUPPORT FOUNDATION UGANDA,DR MUHWEZI KANYIGA AUGUSTIN,"PLOT 40,KYADONDO ROAD",NAKASERO,CENTRAL,KAMPALA,,,,
CHINESE CLINIC CENTRE,WEN HU,DR WEN HU,"509,KANSANGA",,MAKINDYE,KAMPALA,,,,
CHRIS MEDICAL CARE CLINIC,NAMUGAMBE ESTHER SSEMITTI,DR BALYEGYUSA STEPHEN,BANDALI RISE II,BUGOLOBI,NAKAWA,KAMPALA,,,,
CHRIS MEDICAL CENTRE,NAKITO IMELDA,DR SSENKUNGU TOM,KYEBANDO KISALOSALO,,KAWEMPE,KAMPALA,,,,
CHRIST MEDICAL CENTRE,CHRIST MEDICAL CENTRE,DR ONGARIA JOSEPH,"1446, OPPOSITE REST CORNER",MUYENGA,MAKINDYE,KAMPALA,,,,
CHRIST MEDICAL CENTRE LTD,CHRIST MEDICAL CENTRE,DR ONGARIA JOSEPH,,,,,KAMULI,KIRA,KYADONDO,WAKISO
CHRIST THE KING HEALTH CENTRE,MUZAALE JULIUS PAUL,DR KIRUNDA STEPHEN,,,,,KITEBI,RUBAGA,,KAMPALA
CHRIST THE KING MEDICAL SERVICES,ICEANYI PATRICK A PILI,DR ICEANYI PATRICK A. PILLI,LWAMATA,,KIBOGA TRADING CENTRE,KIBOGA,,,,
CHRISTA MEDICAL CLINIC,AGEL YOVENTINO AKII,DR AGEL YOVENTINO AKII,ENTEBBE,,KATABI,WAKISO,,,,
CHRISTIAN AMSTRONG CLINIC,KAWEESA CHRISTOPHER,DR MUGABE KENNETH,,,,,BULAMAGI,NYENGA,BUIKWE,MUKONO
CHRISTINES BIOMEDICAL CONSULTANTS,BWOGI SSENDIKADDIWA EMMY,DR BWOGI SSENDIKADDIWA EMMY,"710,KIRA",KIREKA B,KIRA T/C,WAKISO,,,,
CHUPP MEDICAL CENTRE,DAVID PAUL,DR UNZIMAI JUSTIN,,,,,4A OWEN RAOD,NALUFENYA,,JINJA
CHURCH OF UGANDA DISPENSARY,DIOCESE OF KITGUM,DHO,"339, BOMBO RD",,RUBAGA,KAMPALA,,,,
CHURCH ROAD CLINIC,MABAALE JOHN & AHIMBISIBWE APOLLO,DR AHIMBISIBWE APOLLO,,KAMUKUZI,MUNICIPALITY,MBARARA,,,,
CINI CLINIC,CHILD IN NEED INSTITUTE (CINI) UGANDA,DR NABUKENYA JENNIFER MARYANNE,"31,MUTEMBEI RD",,PALLISA TOWN COUNCIL,PALLISA,,,,
CIPI GENERAL CLINIC,ATUNGO SAKINO FAITH,DR NAMUSOKE JAMIRAH,NALABER ROAD,,KITGUM TOWN,KITGUM,,,,
CITIZENS CLINIC,NABAKOOZA CISSY,DR KASOZI CHARLES,KAMWOKYA,,CENTRAL,KAMPALA,,,,
