UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,,,,,,,,,,,,,
OPERATING LICENCE REGISTER AS OF 31/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reg No.,Name,Owner ,Supervisor ,Plot,Ward,Division,District,Village,Sub County,County,District,Category Of Health Unit ,Health Unit Status,Number of Beds,Laboratory Services,X-ray Services,Radiotherapy Services,Ambulance Services,Other Services,Receipt No.,Serial No.,OL 2016
HUC0137,CHILD AND FAMILY MEDICAL CENTRE,CHILD & FAMILY FOUNDATION UGANDA,DR MUPERE EZEKIEL,"816/7,TUULA",,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,4,Yes,No,No,Yes,IMMUNIZATION,24585,844,01/04/16
HUC0150,CHILDREN'S CLINIC KAMPALA LIMITED,KASIRYE EDWARD,DR KASIRYE EDWARD,"66,MAKINDU CLOSE KOLOLO",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,IMMUNIZATION,18338,190,23/02/16
HUC0042,CHILDREN'S MEDICAL CENTRE,BYARUGABA JUSTUS,DR BYARUGABA JUSTUS,BANDALI RISE II,BUGOLOBI,NAKAWA,KAMPALA,,,,,Medical,Out Patient and In Patient ,10,Yes,Yes,No,No,IMMUNIZATION,19391,284,09/03/16
HUC0065,CLINIC CENTRE KAGADI,KAKIBOGO MWESIGE I,DR KWIKIRIZA MAGAMBO,,,,,KAGADI,KAGADI,BUYAGA,KIBAALE,Medical,Out Patient and In Patient ,12,Yes,Yes,No,No,,22400,1911,01/09/16
HUC0114,COMBONI SAMARITAN OF GULU HEALTH CENTRE II,COMBONI SAMARITAN OF GULU,DHO,,,,,LAYIBI,OMORO,,GULU,Medical,Out Patient ,,No,No,No,Yes,IMMUNIZATION,24772,823,20/04/16
HUC0140,COMMUNITY HEALTH CENTRE,COMMUNITY HEALTH PLAN-UGANDA,DHO,JINJA KAROLI ROAD,NANSANA TOWN COUNCIL,KAWEMPE,WAKISO,,,,,Medical,Out Patient and In Patient ,15,Yes,Yes,No,Yes,"ART,COUNSELLING",21332,543,15/03/16
HUC0144,COMMUNITY HEALTH CENTRE KALIRO,COMMUNITY HEALTH PLAN UGANDA,DR KASUJJA ASUMAN,,,,,KALIRO,KALIRO TOWN COUNCIL,,KALIRO,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,Yes,"IMMUNIZATION,HCT,FP",18807,99,25/01/16
HUC0055,CONCERN HEALTH SERVICES,MPAIRWE MOSES,DR KYAKULAGA KAYEMBA MOSES,NAKULABYE,,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,19732,424,10/03/16
HUC0135,CORNERSTONE SURGERY,DR NAKKAZI MATILDA,DR KWEYAMBA VIANNEY,KYEBANDO,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,4,Yes,Yes,No,No,,20825,1785,25/07/16
HUC0104,CRESCENT MEDICAL CENTRE,ISLAMIC INSTITUTE,DR ABDULLA HAMED MOHAMED,"NALUFENYA ROAD, JINJ",NALUFENYA,MPUMUDDE,JINJA,,,,,Medical and Dental ,In Patient ,25,Yes,Yes,No,No,,18314,172,22/02/16
HUC0112,CURE CHILDREN'S HOSPITAL OF UGANDA,UPMB (CURE INTERNATIONAL),DR SSENYONGA PETER KATO,"95-105, BUGWERE",,MUNICIPALITY,MBALE,,,,,Hospital ,Out Patient and In Patient ,40,Yes,Yes,No,Yes,"CT SCAN,EEG",19206,223,22/02/16
HUC0143,CURE MEDICAL CENTRE,MUTABAZI SHARIF,DR MWANJE JOSEPH,ISHAKA,,ISHAKA,BUSHENYI,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,No,No,No,FP,20879,1744,07/07/16
HUD0005,DABANI HOSPITAL,UCMB,DHO,,,,,DABANI,SAMIA BUGWE,SAMIA BUGWE,BUSIA,Medical,Out Patient and In Patient ,80,Yes,Yes,Yes,No,ART CLINIC,24754,1039,15/04/16
HUD0132,DEMA CARE CLINIC,MUGALU ALEX WAMALA,DR MUGALU ALEX WAMALA,KIYINDI,,NAJJA,BUIKWE,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,NURSING AGENCY",25267,1285,25/05/16
HUD0022,DEN CLINIC,RUBAHIKA DENIS KINUNGU,DR KINUNGU DENIS RUBAHIKA,NAKULABYE,,RUBAGA,KAMPALA,,,,,Medical,Out Patient ,3,Yes,No,No,No,,21052,451,22/03/16
HUD0024,DENTAL PRINCE,KAMULEGEYA ADRIANE,DR. KAMULEGEYA ADRIANE,"4,PILKINGTON ROAD",,CENTRAL,KAMPALA,,,,,Dental ,Out Patient ,,No,Yes,No,No,,21287,537,22/03/16
HUD0042,DISCOVERY MEDICAL CENTRE,LULU FRANCIS,DR LULU FRANCIS,"20, ILLA ROAD, ADJUMANI",ADJUMANI,,ADJUMANI,,,,,Medical,Out Patient ,,Yes,Yes,No,No,,18701,65,27/01/16
HUD0054,DIVINE MERCY CLINIC,LUBUULWA EDWARD,DR LUBUULWA EDWARD G.E.S,,,,,BULAGA,BUSIRO,BUSIRO,WAKISO,Medical,Out Patient and In Patient ,6,Yes,No,No,No,,19287,244,24/02/16
HUD0161,DIVINE MERCY HEALTH AND LAB SERVICES,ANICETA DRAMADRI ABIO,DR AMBAYO RICHARD,MANIBE,,ARUA,ARUA,,,,,Medical,Out Patient ,2,Yes,Yes,No,No,"ANC,FP,IMMUNIZATION",24477,753,01/04/16
HUD0055,DIVINE MERCY HOSPITAL,TADEO GROUP OF COMPANIES,DR OKUMU DAVID CYRUS,"42, BUSIA ROAD",WESTERN,,TORORO,,,,,Hospital ,Out Patient and In Patient ,60,Yes,Yes,Yes,No,,19730,584,18/03/16
HUD0090,DOCTOR HOUSE,NANAK PANDYA,DR NANAK PANDYA,10 BOMBO RD,,CENTRAL,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,1,Yes,No,No,No,,19928,216,03/03/16
HUD0066,DOCTORS CLINIC,KIYIMBA FRED,DR KIYIMBA FRED,"14C, MAIN STREET,HOIMA",KAHOORA,KAHOORA,HOIMA,,,,,Medical,Out Patient and In Patient ,8,Yes,Yes,Yes,No,,19294,246,24/02/16
HUD0071,DOCTOR'S CLINIC BWAISE,NAKIBUUKA GERMINA,DR MUMPE MWANJA DANIEL,NABWERU RD,BWAISE,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,21171,512,22/03/16
HUD0150,DOCTOR'S CLINIC KAYUNGA,GUGULU FRED,DR GUGULU FRED,KAYUNGA,,KAYUNGA TOWN COUNCIL,KAYUNGA,,,,,Medical,Out Patient ,,Yes,No,No,No,,21403,,22/03/16
HUD0146,DOCTOR'S CLINIC SERERE,OGWAL DANIEL,DR ODEKE EMMANUEL,,,,,SERERE,SERERE TOWN COUNCIL,,SERERE,Medical and Dental ,Out Patient and In Patient ,6,Yes,Yes,No,No,EXAMINATION,24289,988,11/04/16
HUD0160,DOCTORS EXPRESS CLINIC,DR TUSUBIRA K EVANS,DR TUSUBIRA K EVANS,BUNAMWAYA,NGOBE,MASAJJA,WAKISO,,,,,Medical and Dental ,Out Patient ,,No,No,No,No,,18344,194,22/02/16
HUD0133,DOCTOR'S GENERAL CLINIC,ASIIMWE BRIAN CRIS,DR ASIIMWE BRIAN CRIS,KAWEMPE,,KAWEMPE,KAMPALA,,,,,Medical,Out Patient and In Patient ,2,Yes,No,No,No,FP,21542,603,22/03/16
HUD0153,DOCTORS MEDICAL CENTRE,NASSIWA HARRIET,DR LUKANGA DICKSON,,,,,"587,ABAYITA ABABIRI",KATABI,,WAKISO,Medical,Out Patient and In Patient ,5,Yes,No,No,No,,21182,518,22/03/16
HUD0142,DOCTOR'S MEDICAL CENTRE KAMPALA,KABANDA JOSEPH,DR KABANDA JOSEPH,KANYANYA,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,No,"FP,IMMUNIZATION",544,,15/03/16
HUD0128,DOCTOR'S MEDICARE CLINIC MUKONO,KIZITO DRAKE AND ENG. JEMBA NICHOLAS,DR NAGUJJA ANGELLA,KAUGA,,CENTRAL DIVISION,MUKONO,,,,,Medical,Out Patient and In Patient ,7,No,Yes,No,No,"FP,IMMUNIZATION",18840,102,03/02/16
HUD0173,DOCTORS PLAZA SOROTI,DR ETOLU JOHN WILSON,DR ETOLU JOHN WILSON,"31A,PIONEER",,NOTHERN,SOROTI,,,,,Medical,Out Patient and In Patient ,7,Yes,Yes,No,No,,21867,685,01/04/16
HUD0166,DOLLAR MEDICAL CENTRE,NAKAYIMA CHRISTINE,DR NAKAYIMA CHRISTINE,NALUMUNYE,,NSANGI,WAKISO,,,,,Medical,Out Patient ,,No,No,No,No,,24529,840,01/04/16
HUD0154,DOM MEDICAL CENTRE,NAMBIRO ANNET,DR KATAMBA ALLAN SEMAKULA,KITEBI,,LUBAGA,KAMPALA,,,,,Medical,Out Patient ,,No,Yes,No,No,"FP,IMMUNIZATION",25271,1386,19/05/16
HUD0098,DONA CANAVALE MEDICAL CENTRE,SOVHEN-UGANDA,DR MUTAAWE A. LUBOGO,,,,,"382,BUKIBILA",NKOZI,KIREKA,MPIGI,Medical and Dental ,Out Patient ,,No,No,No,No,HIV OUTREACH,19819,432,09/03/16
HUD0102,DOUBLE CURE MEDICAL CENTRE,SERUNJOGI DAVID,DR NAKITENDE LYDIA SERUNJOGI,,,,,KALAGALA,MPIGI,MPIGI,MPIGI,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,Yes,"ART CLINIC,THEATRE",21217,509,22/03/16
HUD0129,DR KENEKO FAITH MEMORIAL MEDICAL CENTRE,DR ISABIRYE FREDERICK DANIEL,DR ISABIRYE FREDERICK DANIEL,BUGEMBE,,NAKANYONYI,JINJA,,,,,Medical and Dental ,Out Patient ,4,Yes,No,No,No,,20862,1736,14/07/16
HUD0156,DR. SHANNON KAKUNGULU MEDICAL PRACTICE,KAKUNGULU SHANNON KITAYIMBWA MUGENYI,DR KAKUNGULU SHANNON KITAYIMBWA MUGENYI,SEMBABULE,,TOWN COUNCIL,SEMBABULE,,,,,Medical,Out Patient and In Patient ,10,Yes,No,No,No,FP,21406,611,22/03/16
HUE0054,EAR NOSE & THROAT CENTRE,E. G. MUGADDU,DR MUGADDU ERIC G,"4, PILKINGTON STREET",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,18381,208,22/02/16
HUE0005,EASY BREATH CHEST CLINIC,OKOT NWANG MARTIN,DR OKOT NWANG MARTIN,"347, OLD KIRA RD",KAMWOKYA,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"PEAK FLOW,NEBULIZER",19797,423,22/02/16
HUE0087,EBENEZER ORAL CLINIC,ALELE PATRICK,DR ALELE PATRICK,RWOT ALER ROAD,,OJWINO,LIRA,,,,,Dental ,Out Patient ,,No,Yes,No,No,,19322,262,24/02/16
HUE0014,EBENEZER SDA HEALTH CENTER III,RWENZORI FIELD OF SDA CHURCH,DHO,,,,,BUNDIBUGYO,KASITU,BUGHENDERA,BUNDIBUGYO,Medical and Dental ,Out Patient and In Patient ,22,Yes,No,No,No,,24006,1204,27/04/16
HUE0080,EDEN DIVINE MEDICAL SERVICES,OKURUT JOHN PETER,DR NTEGE TWAHA,KAKA LANE,,KUMI TOWN COUNCIL,KUMI,,,,,Medical,Out Patient and In Patient ,5,Yes,No,No,No,FP,18543,207,22/02/16
HUE0022,EDPA MEDICAL SERVICES LIMITED,EDIAMU TOM DIDMUS & EDIAMU GRACE,DR EDIAMU TOM DIDIMUS,"17,MAIN STREET",,KAHOORA,HOIMA,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,Yes,,18292,146,03/02/16
HUE0077,ELGON FAMILY CLINIC,NAMUTEBI CHRISTINE,DR BAZZE PETER,"KISUGU,MUWAIRE RD",KISUGU SOUTH B,MAKINDYE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,,21840,956,25/04/16
HUE0033,EMBABAZI MEDICAL CENTRE,KYOMUHANGI DIANA RWABWANA,DR NANKUNDA JOLLY,"KIGWANYA ZONE,BUSEGA",BUSEGA,LUBAGA,KAMPALA,,,,,Medical and Dental ,Out Patient ,,No,No,No,No,,15490,72,20/01/16
HUE0039,EMESCO HEALTH CENTRE,EMESCO DEVELOPMENT FOUNDATION,DHO,MUZIZI ROAD,,KIBAALE T/C,KIBALE,,,,,Maternity,Out Patient and In Patient ,28,Yes,Yes,No,No,"FP,IMMUN, MATERNITY",22020,1584,14/06/16
HUE0046,EMMANUEL MEDICAL CENTRE,"NDASE PATRICK,BIRUNGI MARY",DR BIRUNGI MARY,"166A,KATABI STAGE",,KATABI,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,Yes,Yes,"FP,MATERNITY,IMMUN",24353,1006,11/04/16
HUE0052,ENGARI COMMUNITY HEALTH CENTRE,KIGAANE NAOME,DHO,,,,,ENGARI,KANONI,KAZO,KIRUHURA,Medical,Out Patient and In Patient ,40,Yes,No,No,No,"HIV TESTING,IMMUN,FP",18846,105,28/01/16
HUE0055,ENTEBBE CENTRAL CLINIC,BAIGANA NGANWA ALICE,DR NGANWA BAINGANA A,"91, DIVISION 'A'ENTEBBE",CENTRAL WARD,,WAKISO,,,,,Medical,Out Patient ,3,Yes,No,No,No,COUNSELLING,21301,528,22/03/16
HUE0062,EQUATOR MEDICAL CENTRE,TUMUSIIME FRED,DR TUMUSIIME FRED,,,,,BUKWIRIGOLA,BUTEMBA,,KYANKWANZI,Medical,Out Patient ,,Yes,No,No,No,,21485,585,18/03/16
HUE0064,EQUATOR NURSING HOME,MUHWEZI YORAM,DR MUHWEZI YORAM,NYAMITYOBORA RD,,KAKOBA,MBARARA,,,,,Nursing Home,Out Patient and In Patient ,8,Yes,Yes,No,No,,21712,644,01/04/16
HUE0070,EVALINA CHILDREN'S CLINIC,RUZAGIRA EUGENE & RUZAGIRA ROSETTE,DR RUZAGIRA ROSETTE KEISHANYU,BUNAMWAYA LUBOWA,,SABAGABO MAKINDYE,WAKISO,,,,,Medical,Out Patient ,,Yes,No,No,No,,20893,1746,25/07/16
HUE0091,EXCUTIVE HEALTH CARE,GOVULE PHILIP,DR ARIJE FRANCIS,AWINDIRI,NSAMBYA WARD,ARUA HILL DIVISION,ARUA,,,,,Medical and Dental ,Out Patient and In Patient ,9,No,Yes,No,Yes,"MATERNITY,FP,CYOTHERAP",24218,961,22/03/16
HUF0121,FAITH HEALTH CENTRE,MUGUME HAROLD REM EDWIN,DR MUGUME HAROLD REM EDWIN,,,,,KANYOGOGA,KASAMBYA,,MUBENDE,Medical and Dental ,Out Patient and In Patient ,4,Yes,No,No,No,,18701,65,27/01/16
HUF0015,FAMILY CARE CLINIC,ODAR EMMANUEL,DR ODAR EMMANUEL,"17, RHINO CAMP",,MUNICIPALITY,ARUA,,,,,Medical,Out Patient ,6,Yes,Yes,Yes,No,,19475,303,01/03/16
HUF0111,FAMILY CARE HOSPITAL,MUHANGI RICHARD,DR MAYENGO HORACE,"1729,BUWATE",,BUWATE,WAKISO,,,,,Hospital ,Out Patient ,,Yes,Yes,No,No,,12784,78,05/02/16
HUF0033,FAMILY HEALTH CARE CLINIC,BAMWINE JULIUS,DR BAMWINE JULIUS,,,,,KAFUNJO,NYABUHIKYE,IBANDA,IBANDA,Medical,Out Patient and In Patient ,2,Yes,No,No,No,,21123,501,22/03/16
HUF0051,FAMILY HOPE MEDICAL CENTRE,NALUNKUMA AGNES,DR KISAAKYE DAVID,,,,,BWAISE NABWERU ROAD,KAWEMPE,,KAMPALA,Medical and Dental ,Out Patient and In Patient ,4,Yes,No,No,No,FP,20691,1866,19/08/16
HUF0132,FAMILY MEDICAL CENTRE,OITANGOR ARTHUR,DR KAGGA DOUGLAS,MAJANJI ROAD OSATO LANE,,BUSIA,BUSIA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,"FP,HIV COUNSELLING",24533,841,01/04/16
HUF0057,FAMILY NURSING HOME,MICAH INYAGAS LOPITA,DR MICAH INYAGAS LOPITA,"22, MISSION RD",WATER,TOWN COUNCIL,KAMULI,,,,,Nursing Home,Out Patient and In Patient ,8,Yes,Yes,No,No,,19263,237,24/02/16
HUF0127,FAMILY ONE DENTAL CLINIC,ONGODIA DAVID,DR ONGODIA DAVID,"11B,LIRA ROAD",,WESTERN,SOROTI,,,,,Dental ,Out Patient ,,No,No,No,No,,23997,1772,25/07/16
HUF0069,FIONA CLINIC,BATWALA IGNATIUS JAMES,DR BATWALA I J,"45/49,SEMAWATA ROAD",NTINDA,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,,25315,1299,25/05/16
HUF0071,FIRST LINE MEDICAL CENTRE,KINTU DENIS,DR KINTU DENIS,MULAGO,,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,2,Yes,Yes,No,No,,19460,299,12/03/16
HUF0128,FLORENCE MEDICAL SERVICES,SSENKUNGU TOM,DR SSENKUNGU TOM,NANKULABYE,,LUBAGA,KAMPALA,,,,,Medical,Out Patient and In Patient ,10,Yes,Yes,No,No,,20875,1732,14/07/16
HUF0083,FR BILBAO MEMORIAL HEALTH CENTRE,UCMB,DHO,,,,,TULUKWE,METU,WEST MOYO,MOYO,Medical,Out Patient and In Patient ,24,Yes,No,No,No,,22212,1627,27/06/16
HUG0009,GAMATUI MISSION HEALTH CENTRE II,TORORO DIOCESE,DDHS,,,,,GAMATUI,SIIPI,TINGEY,KAPCHORWA,Medical,Out Patient ,6,No,No,No,No,IMMUNIZATION,24574,717,26/04/16
HUG0012,GANGAMA DISPENSARY (OUR LADY OF FATIMA),UCMB,DHO,NAMAKWEKWE,,NORTHERN,MBALE,,,,,Medical,Out Patient and In Patient ,5,Yes,No,No,No,EPI,24777,779,26/04/16
HUG0159,GARY AND BETTY FOSTER MEDICAL CENTRE,KIZITO ROBINAH,DR MWESIGWA ROBERT MUHANGI,BUJUUKO,,BUJUUKO,MPIGI,,,,,Medical,Out Patient ,4,Yes,No,No,No,FP,19875,438,22/03/16
HUG0017,"GASTRO INTESTINAL,LIVER DISEASE TREATMENT AND RES",OCAMA PONSIANO,DR OCAMA PONSIANO,"30,KIIRA ROAD",KAMWOKYA,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,ENDOSCOPY UNIT,21865,684,01/04/16
HUG0151,GEEL HOSPITAL,GEEL MEDICAL SERVICES,DR ONYANGO JAGIRE,TORORO,,MUNICIPALITY,TORORO,,,,,Hospital ,Out Patient and In Patient ,12,Yes,Yes,No,Yes,"FP,PHYSIO,IMMUNISATION",18340,192,22/02/16
HUG0026,GENESIS CLINIC KACHUMBALA,TEGU CRISPUS,DR TEGU CRISPUS,,,,,KACHUMBALA,KACHUMBALA,BUKEDEA,BUKEDEA,Medical and Dental ,Out Patient ,8,Yes,Yes,No,No,"MINOR SURGERY,COUNSELL",21341,552,22/03/16
HUG0145,GIF MEDICAL CENTRE,MWESIGWA ANDREW,DR GONAHASA SAMUEL,KAWEMPE,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",21761,1999,05/04/16
HUG0039,GLOBAL MEDICARE CENTRE,"KAWANGUZI JOSHUA,MACHARIA TEREZA WANJIKU",DR BEMBA KIGGUNDU LUKWAGO MOSES,"1652,OFF MAWANDA RD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient and In Patient ,5,Yes,No,No,No,"FP,IMMUNIZATION",21914,694,01/04/16
HUG0132,GLOBAL TRUST MEDICAL CENTRE,NABWISO MICHEAL,DR NTENDE JACOB,,,,,KINAAWA,NSANGI,,WAKISO,Medical,Out Patient and In Patient ,3,Yes,No,No,No,FP,20136,614,11/04/16
HUG0148,GLOBAL WOODS AG CLINIC,GLOBAL WOODS AG,DR SEREBE JOHN BOSCO,,,,,KALAGI,NSAMBYA,,KYANKWANZI,Medical,Out Patient ,,Yes,No,No,No,,19914,212,22/02/16
HUG0141,GOOD HOPE MEDICAL CENTRE,KIBIRA RONALD,DR BYAMUKAMA AGABA,LUWERO,,LUWERO TOWN COUNCIL,LUWERO,,,,,Medical,Out Patient and In Patient ,12,Yes,No,No,No,,21742,635,22/03/16
HUG0165,GOOD HOPE MEDICAL SERVICES,PEBALO FRANCIS PEBOLO,DR PEBALO FRANCIS PEBOLO,"46,ANDRE OLAL ROAD",,PECE,GULU,,,,,Medical,Out Patient ,8,Yes,No,No,No,,24638,854,26/04/16
HUG0152,GOOD SAMARITAN CLINIC BAYITABABIRI NKUMBA,NJEGO CHRISTOPHER,DR NJEGO CHRISTOPHER,BAYITABABIRI,,KATABI,WAKISO,,,,,Medical,Out Patient ,,Yes,No,No,No,,24105,701,01/04/16
HUT0039,GOOD SAMARITAN KATIKAMU KISUULE HEALTH CENTRE III,UCMB,DHO,,,,,KATIKAMU,WOBULENZI,KATIKAMU SOUTH,LUWEERO,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"HIV/AIDS,MATERNITY",25178,832,11/04/16
HUG0166,GREAT MISSION MEDICAL CENTRE,GUMISIRIZA JOHN RUMASHA,DR GUMISIRIZA JOH RUMASHA,SEMBABULE,,MIJWALA,SEMBABULE,,,,,Medical,Out Patient and In Patient ,25,Yes,Yes,No,No,FP,20207,605,22/03/16
HUG0118,GREEN COTTAGE CLINIC,BUGEMBE MAYANJA F.E.,DR BUGEMBE MAYANJA F E,"121, MUKONO KAMPALA RD",MATERNITY,NSUUBE KAUGA,MUKONO,,,,,Medical,Out Patient ,,Yes,No,No,No,,18736,70,25/01/16
HUG0126,GWAFU CLINIC AND NURSING HOME,KIYENGO JAMES,DR KIYENGO JAMES,,,,,"BUKERERE,SEETA",GOMA,MUKONO NORTH,MUKONO,Nursing Home,Out Patient and In Patient ,10,Yes,Yes,No,No,"ENDOSCOPY,MATERNITY",18216,24,13/01/16
HUH0003,HAKISHENYI HEALTH CENTRE II,UCMB,DHO,,,,,HAKISHENYI-NTUNGWA,BUBARE,RUBANDA,KABALE,Medical,Out Patient ,10,Yes,No,No,No,,19842,391,20/03/16
HUH0115,HAND IN HAND MEDICAL CENTRE,HAND IN HAND MEDICAL UGANDA,DR BATWALA MOSES,"PLOT 221,MUKONO",,MUKONO MUNICIPALITY,MUKONO,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,No,No,No,FP,19366,281,26/02/16
HUH0014,HAROLD POLYCLINIC- NAALYA,KISOLO MUWANGA RONALD HERBERT,DR KISOLO MUWANGA RONALD HERBERT,,,,,NAALYA,KIIRA,KIIRA,WAKISO,Medical,Out Patient ,,Yes,No,No,No,,19805,128,18/03/16
HUH0022,HEALING BALM CLINIC,KAFEERO NAGAWA CATHERINE,DR KAFEERO NAGAWA CATHERINE,,,,,NAKISUNGA,,KYABALOGO,MUKONO,Medical,Out Patient ,,Yes,No,No,No,,18351,201,22/02/16
HUH0028,HEALTH CARE CLINIC KAGADI,OLOWO JAMES,DR OLOWO JAMES,,,,,HOIMA RD,KAGADI,BUYAGA,KIBAALE,Medical,Out Patient ,,Yes,No,No,No,,21244,521,22/03/16
HUH0058,HOIMA ISLAMIC HEALTH CENTRE,BUNYORO MUSLIM DISTRICT COUNCIL,DR RWAHWIRE PATRICK MUSINGUZI,TOORO ROAD,PARK CELL,KAHOORA,HOIMA,,,,,Medical and Dental ,Out Patient and In Patient ,18,Yes,Yes,No,No,"TBA,CBO,FP",19900,444,25/03/16
HUH0017,HOLY FAMILY HOSPITAL NYAPEA,UCMB,DR ICTHO JERRY,,,,,MISSION CENTRE,NYAPEA,OKORO,ZOMBO,Hospital ,Out Patient and In Patient ,139,Yes,Yes,Yes,Yes,,19630,347,09/03/16
HUH0068,HOLY FAMILY VIRIKA HOSPITAL,RT REV BISHOP MUHIRWA ROBERT,DR BUSINGYE PRISCILLA,VIRIKA HILL,,MUNICIPALITY,KABAROLE,,,,,Hospital ,Out Patient and In Patient ,205,Yes,Yes,No,Yes,"ECG,HDU,PHYSIOTHERAPY,",19323,261,24/02/16
HUH0070,HOLY SPIRIT MEDICAL CENTRE (U) LTD,ANKUR KUMAR H. JAVAIYA,DR JAVAIYA ANKUR KUMAR,"24, RASHID KHAMIS ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,18068,1869,14/12/15
HUH0088,HOPE CLINIC,NDUGWA ABDUSAMADU,DR LUKOYE DEUS,KIBUYE II,,MAKINDYE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,18060,1852,14/12/15
HUH0101,HOPE MEDICAL CLINIC,NANYANZI REBECCA,DR NTALO ROBERT,,,,,NABUSANKE,NKOZI,MAWOKOTA SOUTH,MPIGI,Medical,Out Patient ,,Yes,No,No,No,FP,21942,697,01/04/16
HUH0118,HOSSANA MEDICAL CLINIC,DR WANYAMA GABRIEL,DR WANYAMA GABRIEL,NAJANJI ROAD,,WESTERN,BUSIA,,,,,Medical,Out Patient and In Patient ,10,Yes,No,No,No,,210007,441,25/03/16
HUH0104,HOUSE OF HOLY FAMILY NURSING HOME,MWEBE FULGENTIUS,DR MWEBE FULGENTIUS,"24/25,OLD KALISIZO MASAKA",KALISIZO TRADING CENTRE,,RAKAI,,,,,Medical,In Patient ,20,Yes,Yes,No,No,,20817,1779,25/07/16
HUI0005,IBANDA CENTRAL CLINIC,KASANDE BARIHARWEGO MARGARET,DR KASANDE BARIHARWEGO MARGARET,BUFUNDA,BUFUNDA,,IBANDA,,,,,Medical,Out Patient and In Patient ,5,Yes,Yes,No,No,PALLIATIVE CARE,21116,502,22/03/16
HUI0008,IBANDA HOSPITAL,UCMB,DHO,,,,,KAGONGO,IBANDA,IBANDA,IBANDA,Hospital ,Out Patient and In Patient ,178,Yes,Yes,Yes,Yes,,24522,372,11/04/16
HUI0015,ICEME HEALTH CENTRE III,UCMB,DHO OYAM,,,,,ARYEBI,ICEME,OYAM NORTH,OYAM,Medical,Out Patient and In Patient ,44,Yes,No,No,Yes,HIV  CLINIC,19832,381,20/03/16
HUI0063,IGANGA ISLAMIC MEDICAL CENTRE,UMSC,DHO,IGANGA,,IGANGA CENTRAL,IGANGA,,,,,Maternity,Out Patient and In Patient ,22,Yes,No,No,No,"DENTAL,FP",19374,282,07/01/16
HUI0072,IMC PARK ROYAL CLINIC,IAN CLARKE,DR BUUZA ERIA,"26,BUGANDA ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,19873,309,09/03/16
HUI0026,INDUSTRIAL MEDICAL SERVICES,NYAMWIHURA JONATHAN,DR NYAMWIHURA JONATHAN,"18, JINJA RD",,CENTRAL,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,Yes,No,No,,21257,525,22/03/16
HUI0069,INTERNATIONAL DIANOSTIC CENTRE,IAN CLARKE,DR NDAHURA DUNCAN,"37,YUSUF LULE ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,5,Yes,Yes,No,No,,19867,315,09/03/16
HUI0038,INTERNATIONAL HOSPITAL KAMPALA,INTERNATIONAL MEDICAL GROUP LIMITED,DR IAN CLARKE,"4686,KISUGU-NAMUWONGO",,MAKINDYE,KAMPALA,,,,,Hospital ,Out Patient ,100,Yes,Yes,Yes,Yes,MATERNITY,19217,224,22/02/16
HUI0041,INTERNATIONAL MEDICAL CENTRE,IAN CLARKE,DR KAWUMA RONALD,"10B,HILL RD",,LUNYO,WAKISO,,,,,Medical and Dental ,Out Patient ,2,Yes,Yes,No,Yes,"FP,IMMUNIZATION",19865,317,09/03/16
